"","category","links","scrape"
"103","消毒柜","list.jd.com/list.html?cat=737,13297,1301","Y"
"104","洗碗机","list.jd.com/list.html?cat=737,13297,13117","Y"
"105","料理机","list.jd.com/list.html?cat=737,752,755","Y"
"106","榨汁机","list.jd.com/list.html?cat=737,752,13116","Y"
"107","电饭煲","list.jd.com/list.html?cat=737,752,753","Y"
"108","电压力锅","list.jd.com/list.html?cat=737,752,881","Y"
"109","豆浆机","list.jd.com/list.html?cat=737,752,756","Y"
"110","咖啡机","list.jd.com/list.html?cat=737,752,761","Y"
"111","微波炉","list.jd.com/list.html?cat=737,752,758","Y"
"112","电烤箱","list.jd.com/list.html?cat=737,752,759","Y"
"113","电磁炉","list.jd.com/list.html?cat=737,752,757","Y"
"114","面包机","list.jd.com/list.html?cat=737,752,899","Y"
"115","煮蛋器","list.jd.com/list.html?cat=737,752,902","Y"
"116","酸奶机","list.jd.com/list.html?cat=737,752,762","Y"
"117","电炖锅","list.jd.com/list.html?cat=737,752,9249","Y"
"118","电水壶/热水瓶","list.jd.com/list.html?cat=737,752,760","Y"
"119","电饼铛","list.jd.com/list.html?cat=737,752,882","Y"
"120","多用途锅","list.jd.com/list.html?cat=737,752,754","Y"
"121","电烧烤炉","list.jd.com/list.html?cat=737,752,13118","Y"
"122","果蔬解毒机","list.jd.com/list.html?cat=737,752,901","Y"
"123","其它厨房电器","list.jd.com/list.html?cat=737,752,803","Y"
"124","养生壶/煎药壶","list.jd.com/list.html?cat=737,752,12397","Y"
"125","电热饭盒","list.jd.com/list.html?cat=737,752,12398","Y"
"126","取暖电器","list.jd.com/list.html?cat=737,738,747","Y"
"127","净化器","list.jd.com/list.html?cat=737,738,749","Y"
"128","加湿器","list.jd.com/list.html?cat=737,738,748","Y"
"129","扫地机器人","list.jd.com/list.html?cat=737,738,12394","Y"
"130","吸尘器","list.jd.com/list.html?cat=737,738,745","Y"
"131","挂烫机/熨斗","list.jd.com/list.html?cat=737,738,1279","Y"
"132","插座","list.jd.com/list.html?cat=737,738,1052","Y"
"133","电话机","list.jd.com/list.html?cat=737,738,806","Y"
"134","清洁机","list.jd.com/list.html?cat=737,738,897","Y"
"135","除湿机","list.jd.com/list.html?cat=737,738,1283","Y"
"136","干衣机","list.jd.com/list.html?cat=737,738,12395","Y"
"137","收录/音机","list.jd.com/list.html?cat=737,738,801","Y"
"138","电风扇","list.jd.com/list.html?cat=737,738,751","Y"
"139","冷风扇","list.jd.com/list.html?cat=737,738,1278","Y"
"140","其它生活电器","list.jd.com/list.html?cat=737,738,825","Y"
"141","生活电器配件","list.jd.com/list.html?cat=737,738,12396","Y"
"142","净水器","list.jd.com/list.html?cat=737,738,898","Y"
"143","饮水机","list.jd.com/list.html?cat=737,738,750","Y"
"144","剃须刀","list.jd.com/list.html?cat=737,1276,739","Y"
"145","剃/脱毛器","list.jd.com/list.html?cat=737,1276,742","Y"
"146","口腔护理","list.jd.com/list.html?cat=737,1276,741","Y"
"147","电吹风","list.jd.com/list.html?cat=737,1276,740","Y"
"148","美容器","list.jd.com/list.html?cat=737,1276,795","Y"
"149","理发器","list.jd.com/list.html?cat=737,1276,1287","Y"
"150","卷/直发器","list.jd.com/list.html?cat=737,1276,12400","Y"
"151","按摩椅","list.jd.com/list.html?cat=737,1276,1291","Y"
"152","按摩器","list.jd.com/list.html?cat=737,1276,967","Y"
"153","足浴盆","list.jd.com/list.html?cat=737,1276,963","Y"
"154","血压计","list.jd.com/list.html?cat=737,1276,966","Y"
"155","电子秤/厨房秤","list.jd.com/list.html?cat=737,1276,1289","Y"
"156","血糖仪","list.jd.com/list.html?cat=737,1276,1225","Y"
"157","体温计","list.jd.com/list.html?cat=737,1276,1292","Y"
"158","其它健康电器","list.jd.com/list.html?cat=737,1276,1290","Y"
"159","计步器/脂肪检测仪","list.jd.com/list.html?cat=737,1276,968","Y"
"160","电动工具","list.jd.com/list.html?cat=737,1277,934","Y"
"161","手动工具","list.jd.com/list.html?cat=737,1277,3979","Y"
"162","仪器仪表","list.jd.com/list.html?cat=737,1277,6974","Y"
"163","浴霸/排气扇","list.jd.com/list.html?cat=737,1277,900","Y"
"164","灯具","list.jd.com/list.html?cat=737,1277,1295","Y"
"165","LED灯","list.jd.com/list.html?cat=737,1277,6975","Y"
"166","洁身器","list.jd.com/list.html?cat=737,1277,4934","Y"
"167","水槽","list.jd.com/list.html?cat=737,1277,5004","Y"
"168","龙头","list.jd.com/list.html?cat=737,1277,5005","Y"
"169","淋浴花洒","list.jd.com/list.html?cat=737,1277,5006","Y"
"170","厨卫五金","list.jd.com/list.html?cat=737,1277,1293","Y"
"171","家具五金","list.jd.com/list.html?cat=737,1277,4834","Y"
"172","门铃","list.jd.com/list.html?cat=737,1277,1294","Y"
"173","电气开关","list.jd.com/list.html?cat=737,1277,6976","Y"
"174","插座","list.jd.com/list.html?cat=737,1277,6977","Y"
"175","电工电料","list.jd.com/list.html?cat=737,1277,6978","Y"
"176","监控安防","list.jd.com/list.html?cat=737,1277,6979","Y"
"177","电线/线缆","list.jd.com/list.html?cat=737,1277,1299","Y"
"178","数码相机","list.jd.com/list.html?cat=652,654,831","Y"
"179","单电/微单相机","list.jd.com/list.html?cat=652,654,5012","Y"
"180","单反相机","list.jd.com/list.html?cat=652,654,832","Y"
"181","摄像机","list.jd.com/list.html?cat=652,654,833","Y"
"182","拍立得","list.jd.com/list.html?cat=652,654,7170","Y"
"183","运动相机","list.jd.com/list.html?cat=652,654,12342","Y"
"184","镜头","list.jd.com/list.html?cat=652,654,834","Y"
"185","户外器材","list.jd.com/list.html?cat=652,654,12343","Y"
"186","影棚器材","list.jd.com/list.html?cat=652,654,12344","Y"
"187","冲印服务","list.jd.com/list.html?cat=652,654,12415","Y"
"188","数码相框","list.jd.com/list.html?cat=652,654,844","Y"
"189","存储卡","list.jd.com/list.html?cat=652,829,845","Y"
"190","读卡器","list.jd.com/list.html?cat=652,829,846","Y"
"191","滤镜","list.jd.com/list.html?cat=652,829,835","Y"
"192","闪光灯/手柄","list.jd.com/list.html?cat=652,829,836","Y"
"193","相机包","list.jd.com/list.html?cat=652,829,847","Y"
"194","三脚架/云台","list.jd.com/list.html?cat=652,829,848","Y"
"195","相机清洁/贴膜","list.jd.com/list.html?cat=652,829,851","Y"
"196","机身附件","list.jd.com/list.html?cat=652,829,10971","Y"
"197","镜头附件","list.jd.com/list.html?cat=652,829,10972","Y"
"198","电池/充电器","list.jd.com/list.html?cat=652,829,854","Y"
"199","移动电源","list.jd.com/list.html?cat=652,829,1219","Y"
"200","数码支架","list.jd.com/list.html?cat=652,829,12810","Y"
"201","智能手环","list.jd.com/list.html?cat=652,12345,12347","Y"
"202","智能手表","list.jd.com/list.html?cat=652,12345,12348","Y"
"203","智能眼镜","list.jd.com/list.html?cat=652,12345,12349","Y"
"204","运动跟踪器","list.jd.com/list.html?cat=652,12345,12350","Y"
"205","健康监测","list.jd.com/list.html?cat=652,12345,12351","Y"
"206","智能配饰","list.jd.com/list.html?cat=652,12345,12352","Y"
"207","智能家居","list.jd.com/list.html?cat=652,12345,12353","Y"
"208","体感车","list.jd.com/list.html?cat=652,12345,12354","Y"
"209","其他配件","list.jd.com/list.html?cat=652,12345,12355","Y"
"210","智能机器人","list.jd.com/list.html?cat=652,12345,12806","Y"
"211","无人机","list.jd.com/list.html?cat=652,12345,12807","Y"
