"","category","links","scrape"
"415","咖啡具","list.jd.com/list.html?cat=6196,11143,11155","Y"
"416","其他","list.jd.com/list.html?cat=6196,11143,11156","Y"
"417","纸品湿巾","list.jd.com/list.html?cat=1316,1625,1671","Y"
"418","衣物清洁","list.jd.com/list.html?cat=1316,1625,1662","Y"
"419","清洁工具","list.jd.com/list.html?cat=1316,1625,1667","Y"
"420","驱虫用品","list.jd.com/list.html?cat=1316,1625,1669","Y"
"421","家庭清洁","list.jd.com/list.html?cat=1316,1625,1663","Y"
"422","皮具护理","list.jd.com/list.html?cat=1316,1625,1670","Y"
"423","一次性用品","list.jd.com/list.html?cat=1316,1625,11970","Y"
"424","洁面","list.jd.com/list.html?cat=1316,1381,1389","Y"
"425","乳液面霜","list.jd.com/list.html?cat=1316,1381,1391","Y"
"426","面膜","list.jd.com/list.html?cat=1316,1381,1392","Y"
"427","剃须","list.jd.com/list.html?cat=1316,1381,1416","Y"
"428","套装","list.jd.com/list.html?cat=1316,1381,1396","Y"
"429","精华","list.jd.com/list.html?cat=1316,1381,13546","Y"
"430","眼霜","list.jd.com/list.html?cat=1316,1381,13547","Y"
"431","卸妆","list.jd.com/list.html?cat=1316,1381,13544","Y"
"432","防晒","list.jd.com/list.html?cat=1316,1381,13548","Y"
"433","防晒隔离","list.jd.com/list.html?cat=1316,1381,5160","Y"
"434","T区护理","list.jd.com/list.html?cat=1316,1381,1395","Y"
"435","眼部护理","list.jd.com/list.html?cat=1316,1381,1393","Y"
"436","精华露","list.jd.com/list.html?cat=1316,1381,5147","Y"
"437","爽肤水","list.jd.com/list.html?cat=1316,1381,1390","Y"
"438","沐浴","list.jd.com/list.html?cat=1316,1383,1401","Y"
"439","润肤","list.jd.com/list.html?cat=1316,1383,1404","Y"
"440","颈部","list.jd.com/list.html?cat=1316,1383,1394","Y"
"441","手足","list.jd.com/list.html?cat=1316,1383,2562","Y"
"442","纤体塑形","list.jd.com/list.html?cat=1316,1383,5164","Y"
"443","美胸","list.jd.com/list.html?cat=1316,1383,11928","Y"
"444","套装","list.jd.com/list.html?cat=1316,1383,11929","Y"
"445","精油","list.jd.com/list.html?cat=1316,1383,13551","Y"
"446","洗发护发","list.jd.com/list.html?cat=1316,1383,5148","Y"
"447","染发/造型","list.jd.com/list.html?cat=1316,1383,5149","Y"
"448","香薰精油","list.jd.com/list.html?cat=1316,1383,5163","Y"
"449","磨砂/浴盐","list.jd.com/list.html?cat=1316,1383,5162","Y"
"450","手工/香皂","list.jd.com/list.html?cat=1316,1383,5161","Y"
"451","洗发","list.jd.com/list.html?cat=1316,1383,1397","Y"
"452","护发","list.jd.com/list.html?cat=1316,1383,1398","Y"
"453","染发","list.jd.com/list.html?cat=1316,1383,1400","Y"
"454","磨砂膏","list.jd.com/list.html?cat=1316,1383,1403","Y"
"455","香皂","list.jd.com/list.html?cat=1316,1383,1402","Y"
"456","牙膏/牙粉","list.jd.com/list.html?cat=1316,1384,1405","Y"
"457","牙刷/牙线","list.jd.com/list.html?cat=1316,1384,1406","Y"
"458","漱口水","list.jd.com/list.html?cat=1316,1384,1407","Y"
"459","套装","list.jd.com/list.html?cat=1316,1384,11930","Y"
"460","卫生巾","list.jd.com/list.html?cat=1316,1385,1408","Y"
"461","卫生护垫","list.jd.com/list.html?cat=1316,1385,1409","Y"
"462","私密护理","list.jd.com/list.html?cat=1316,1385,1410","Y"
"463","脱毛膏","list.jd.com/list.html?cat=1316,1385,5150","Y"
"464","其他","list.jd.com/list.html?cat=1316,1385,1411","Y"
"465","洗发","list.jd.com/list.html?cat=1316,1386,11922","Y"
"466","护发","list.jd.com/list.html?cat=1316,1386,11923","Y"
"467","染发","list.jd.com/list.html?cat=1316,1386,11924","Y"
"468","造型","list.jd.com/list.html?cat=1316,1386,11925","Y"
"469","假发","list.jd.com/list.html?cat=1316,1386,4699","Y"
"470","套装","list.jd.com/list.html?cat=1316,1386,6739","Y"
"471","美发工具","list.jd.com/list.html?cat=1316,1386,13550","Y"
"472","脸部护理","list.jd.com/list.html?cat=1316,1386,1412","Y"
"473","香水","list.jd.com/list.html?cat=1316,1387,11932","Y"
"474","底妆","list.jd.com/list.html?cat=1316,1387,1420","Y"
"475","腮红","list.jd.com/list.html?cat=1316,1387,1421","Y"
"476","眼影","list.jd.com/list.html?cat=1316,1387,1422","Y"
"477","唇部","list.jd.com/list.html?cat=1316,1387,1425","Y"
"478","美甲","list.jd.com/list.html?cat=1316,1387,1428","Y"
"479","眼线","list.jd.com/list.html?cat=1316,1387,13549","Y"
"480","美妆工具","list.jd.com/list.html?cat=1316,1387,1429","Y"
"481","套装","list.jd.com/list.html?cat=1316,1387,1426","Y"
"482","防晒隔离","list.jd.com/list.html?cat=1316,1387,1419","Y"
"483","卸妆","list.jd.com/list.html?cat=1316,1387,1427","Y"
"484","眉笔","list.jd.com/list.html?cat=1316,1387,1423","Y"
"485","睫毛膏","list.jd.com/list.html?cat=1316,1387,1424","Y"
"486","T恤","list.jd.com/list.html?cat=1315,1343,1355","Y"
"487","衬衫","list.jd.com/list.html?cat=1315,1343,1354","Y"
"488","针织衫","list.jd.com/list.html?cat=1315,1343,1356","Y"
"489","雪纺衫","list.jd.com/list.html?cat=1315,1343,9713","Y"
"490","卫衣","list.jd.com/list.html?cat=1315,1343,9710","Y"
"491","马甲","list.jd.com/list.html?cat=1315,1343,9714","Y"
"492","连衣裙","list.jd.com/list.html?cat=1315,1343,9719","Y"
"493","半身裙","list.jd.com/list.html?cat=1315,1343,9720","Y"
"494","牛仔裤","list.jd.com/list.html?cat=1315,1343,9715","Y"
"495","休闲裤","list.jd.com/list.html?cat=1315,1343,9717","Y"
"496","打底裤","list.jd.com/list.html?cat=1315,1343,9716","Y"
"497","正装裤","list.jd.com/list.html?cat=1315,1343,9718","Y"
"498","小西装","list.jd.com/list.html?cat=1315,1343,9711","Y"
"499","短外套","list.jd.com/list.html?cat=1315,1343,9712","Y"
"500","风衣","list.jd.com/list.html?cat=1315,1343,9708","Y"
"501","毛呢大衣","list.jd.com/list.html?cat=1315,1343,9706","Y"
"502","真皮皮衣","list.jd.com/list.html?cat=1315,1343,9707","Y"
"503","棉服","list.jd.com/list.html?cat=1315,1343,9705","Y"
"504","羽绒服","list.jd.com/list.html?cat=1315,1343,3983","Y"
"505","大码女装","list.jd.com/list.html?cat=1315,1343,9722","Y"
"506","中老年女装","list.jd.com/list.html?cat=1315,1343,9721","Y"
"507","婚纱","list.jd.com/list.html?cat=1315,1343,9723","Y"
"508","打底衫","list.jd.com/list.html?cat=1315,1343,11985","Y"
"509","旗袍/唐装","list.jd.com/list.html?cat=1315,1343,11986","Y"
"510","加绒裤","list.jd.com/list.html?cat=1315,1343,11987","Y"
"511","吊带/背心","list.jd.com/list.html?cat=1315,1343,11988","Y"
"512","羊绒衫","list.jd.com/list.html?cat=1315,1343,11989","Y"
"513","短裤","list.jd.com/list.html?cat=1315,1343,11991","Y"
"514","皮草","list.jd.com/list.html?cat=1315,1343,11993","Y"
"515","礼服","list.jd.com/list.html?cat=1315,1343,11996","Y"
"516","仿皮皮衣","list.jd.com/list.html?cat=1315,1343,11998","Y"
"517","羊毛衫","list.jd.com/list.html?cat=1315,1343,11999","Y"
"518","设计师/潮牌","list.jd.com/list.html?cat=1315,1343,12000","Y"
"519","衬衫","list.jd.com/list.html?cat=1315,1342,1348","Y"
"520","T恤","list.jd.com/list.html?cat=1315,1342,1349","Y"
"521","POLO衫","list.jd.com/list.html?cat=1315,1342,9733","Y"
"522","针织衫","list.jd.com/list.html?cat=1315,1342,1350","Y"
"523","羊绒衫","list.jd.com/list.html?cat=1315,1342,9726","Y"
"524","卫衣","list.jd.com/list.html?cat=1315,1342,9732","Y"
"525","马甲/背心","list.jd.com/list.html?cat=1315,1342,9734","Y"
"526","夹克","list.jd.com/list.html?cat=1315,1342,9730","Y"
"527","风衣","list.jd.com/list.html?cat=1315,1342,9728","Y"
"528","毛呢大衣","list.jd.com/list.html?cat=1315,1342,9729","Y"
"529","仿皮皮衣","list.jd.com/list.html?cat=1315,1342,9725","Y"
"530","西服","list.jd.com/list.html?cat=1315,1342,9731","Y"
"531","棉服","list.jd.com/list.html?cat=1315,1342,9724","Y"
"532","羽绒服","list.jd.com/list.html?cat=1315,1342,3982","Y"
"533","牛仔裤","list.jd.com/list.html?cat=1315,1342,9735","Y"
"534","休闲裤","list.jd.com/list.html?cat=1315,1342,9736","Y"
"535","西裤","list.jd.com/list.html?cat=1315,1342,9737","Y"
"536","西服套装","list.jd.com/list.html?cat=1315,1342,9738","Y"
"537","大码男装","list.jd.com/list.html?cat=1315,1342,9739","Y"
"538","中老年男装","list.jd.com/list.html?cat=1315,1342,9740","Y"
"539","唐装/中山装","list.jd.com/list.html?cat=1315,1342,9741","Y"
"540","工装","list.jd.com/list.html?cat=1315,1342,9742","Y"
"541","真皮皮衣","list.jd.com/list.html?cat=1315,1342,12001","Y"
"542","加绒裤","list.jd.com/list.html?cat=1315,1342,12002","Y"
"543","卫裤/运动裤","list.jd.com/list.html?cat=1315,1342,12003","Y"
"544","短裤","list.jd.com/list.html?cat=1315,1342,12004","Y"
"545","设计师/潮牌","list.jd.com/list.html?cat=1315,1342,12005","Y"
"546","羊毛衫","list.jd.com/list.html?cat=1315,1342,12089","Y"
"547","文胸","list.jd.com/list.html?cat=1315,1345,1364","Y"
"548","女式内裤","list.jd.com/list.html?cat=1315,1345,9743","Y"
"549","男式内裤","list.jd.com/list.html?cat=1315,1345,9744","Y"
"550","睡衣/家居服","list.jd.com/list.html?cat=1315,1345,1371","Y"
"551","塑身美体","list.jd.com/list.html?cat=1315,1345,9747","Y"
"552","泳衣","list.jd.com/list.html?cat=1315,1345,9753","Y"
"553","吊带/背心","list.jd.com/list.html?cat=1315,1345,1365","Y"
"554","抹胸","list.jd.com/list.html?cat=1315,1345,9751","Y"
"555","连裤袜/丝袜","list.jd.com/list.html?cat=1315,1345,9748","Y"
"556","美腿袜","list.jd.com/list.html?cat=1315,1345,9749","Y"
"557","商务男袜","list.jd.com/list.html?cat=1315,1345,9745","Y"
"558","保暖内衣","list.jd.com/list.html?cat=1315,1345,1369","Y"
"559","情侣睡衣","list.jd.com/list.html?cat=1315,1345,12006","Y"
"560","文胸套装","list.jd.com/list.html?cat=1315,1345,12008","Y"
"561","少女文胸","list.jd.com/list.html?cat=1315,1345,12009","Y"
"562","休闲棉袜","list.jd.com/list.html?cat=1315,1345,12010","Y"
"563","大码内衣","list.jd.com/list.html?cat=1315,1345,12011","Y"
"564","内衣配件","list.jd.com/list.html?cat=1315,1345,12012","Y"
"565","打底裤袜","list.jd.com/list.html?cat=1315,1345,12013","Y"
"566","打底衫","list.jd.com/list.html?cat=1315,1345,12014","Y"
"567","秋衣秋裤","list.jd.com/list.html?cat=1315,1345,12015","Y"
"568","情趣内衣","list.jd.com/list.html?cat=1315,1345,1368","Y"
"569","服装洗护","list.jd.com/list.html?cat=1315,13529,13530","Y"
"570","太阳镜","list.jd.com/list.html?cat=1315,1346,9790","Y"
"571","光学镜架/镜片","list.jd.com/list.html?cat=1315,1346,9789","Y"
"572","围巾/手套/帽子套装","list.jd.com/list.html?cat=1315,1346,1376","Y"
"573","袖扣","list.jd.com/list.html?cat=1315,1346,1378","Y"
"574","棒球帽","list.jd.com/list.html?cat=1315,1346,9792","Y"
"575","毛线帽","list.jd.com/list.html?cat=1315,1346,9793","Y"
"576","遮阳帽","list.jd.com/list.html?cat=1315,1346,9794","Y"
"577","老花镜","list.jd.com/list.html?cat=1315,1346,12017","Y"
"578","装饰眼镜","list.jd.com/list.html?cat=1315,1346,12018","Y"
"579","防辐射眼镜","list.jd.com/list.html?cat=1315,1346,12019","Y"
"580","游泳镜","list.jd.com/list.html?cat=1315,1346,12020","Y"
"581","女士丝巾/围巾/披肩","list.jd.com/list.html?cat=1315,1346,12021","Y"
"582","男士丝巾/围巾","list.jd.com/list.html?cat=1315,1346,12022","Y"
"583","鸭舌帽","list.jd.com/list.html?cat=1315,1346,12023","Y"
"584","贝雷帽","list.jd.com/list.html?cat=1315,1346,12024","Y"
"585","礼帽","list.jd.com/list.html?cat=1315,1346,12025","Y"
"586","真皮手套","list.jd.com/list.html?cat=1315,1346,12026","Y"
"587","毛线手套","list.jd.com/list.html?cat=1315,1346,12027","Y"
"588","防晒手套","list.jd.com/list.html?cat=1315,1346,12028","Y"
"589","男士腰带/礼盒","list.jd.com/list.html?cat=1315,1346,12029","Y"
"590","女士腰带/礼盒","list.jd.com/list.html?cat=1315,1346,12030","Y"
"591","钥匙扣","list.jd.com/list.html?cat=1315,1346,12033","Y"
"592","遮阳伞/雨伞","list.jd.com/list.html?cat=1315,1346,12034","Y"
"593","口罩","list.jd.com/list.html?cat=1315,1346,12035","Y"
"594","耳罩/耳包","list.jd.com/list.html?cat=1315,1346,12036","Y"
"595","假领","list.jd.com/list.html?cat=1315,1346,12037","Y"
"596","毛线/布面料","list.jd.com/list.html?cat=1315,1346,12038","Y"
"597","领带/领结/领带夹","list.jd.com/list.html?cat=1315,1346,12039","Y"
"598","男表","list.jd.com/list.html?cat=5025,5026,12091","Y"
"599","瑞表","list.jd.com/list.html?cat=5025,5026,13673","Y"
"600","女表","list.jd.com/list.html?cat=5025,5026,12092","Y"
"601","国表","list.jd.com/list.html?cat=5025,5026,13674","Y"
"602","日韩表","list.jd.com/list.html?cat=5025,5026,13669","Y"
"603","欧美表","list.jd.com/list.html?cat=5025,5026,13668","Y"
"604","德表","list.jd.com/list.html?cat=5025,5026,13672","Y"
"605","儿童手表","list.jd.com/list.html?cat=5025,5026,12093","Y"
"606","智能手表","list.jd.com/list.html?cat=5025,5026,12417","Y"
"607","闹钟","list.jd.com/list.html?cat=5025,5026,13670","Y"
"608","座钟挂钟","list.jd.com/list.html?cat=5025,5026,12094","Y"
"609","钟表配件","list.jd.com/list.html?cat=5025,5026,13671","Y"
"610","商务休闲鞋","list.jd.com/list.html?cat=11729,11730,6907","Y"
"611","正装鞋","list.jd.com/list.html?cat=11729,11730,6906","Y"
"612","休闲鞋","list.jd.com/list.html?cat=11729,11730,6908","Y"
"613","凉鞋/沙滩鞋","list.jd.com/list.html?cat=11729,11730,6909","Y"
"614","男靴","list.jd.com/list.html?cat=11729,11730,6912","Y"
"615","功能鞋","list.jd.com/list.html?cat=11729,11730,9781","Y"
"616","拖鞋/人字拖","list.jd.com/list.html?cat=11729,11730,6911","Y"
"617","雨鞋/雨靴","list.jd.com/list.html?cat=11729,11730,9782","Y"
"618","传统布鞋","list.jd.com/list.html?cat=11729,11730,6910","Y"
"619","鞋配件","list.jd.com/list.html?cat=11729,11730,6913","Y"
"620","帆布鞋","list.jd.com/list.html?cat=11729,11730,9783","Y"
"621","增高鞋","list.jd.com/list.html?cat=11729,11730,12066","Y"
"622","工装鞋","list.jd.com/list.html?cat=11729,11730,12067","Y"
"623","定制鞋","list.jd.com/list.html?cat=11729,11730,12068","Y"
"624","高跟鞋","list.jd.com/list.html?cat=11729,11731,9772","Y"
"625","单鞋","list.jd.com/list.html?cat=11729,11731,6914","Y"
"626","休闲鞋","list.jd.com/list.html?cat=11729,11731,6916","Y"
"627","凉鞋","list.jd.com/list.html?cat=11729,11731,6917","Y"
"628","女靴","list.jd.com/list.html?cat=11729,11731,9776","Y"
"629","雪地靴","list.jd.com/list.html?cat=11729,11731,6920","Y"
"630","拖鞋/人字拖","list.jd.com/list.html?cat=11729,11731,9775","Y"
"631","踝靴","list.jd.com/list.html?cat=11729,11731,9769","Y"
"632","筒靴","list.jd.com/list.html?cat=11729,11731,9770","Y"
"633","帆布鞋","list.jd.com/list.html?cat=11729,11731,9774","Y"
"634","雨鞋/雨靴","list.jd.com/list.html?cat=11729,11731,9777","Y"
"635","妈妈鞋","list.jd.com/list.html?cat=11729,11731,9778","Y"
"636","鞋配件","list.jd.com/list.html?cat=11729,11731,9779","Y"
"637","特色鞋","list.jd.com/list.html?cat=11729,11731,9780","Y"
"638","鱼嘴鞋","list.jd.com/list.html?cat=11729,11731,6915","Y"
"639","布鞋/绣花鞋","list.jd.com/list.html?cat=11729,11731,6918","Y"
"640","马丁靴","list.jd.com/list.html?cat=11729,11731,12060","Y"
"641","坡跟鞋","list.jd.com/list.html?cat=11729,11731,12061","Y"
"642","松糕鞋","list.jd.com/list.html?cat=11729,11731,12062","Y"
"643","内增高","list.jd.com/list.html?cat=11729,11731,12063","Y"
"644","防水台","list.jd.com/list.html?cat=11729,11731,12064","Y"
"645","婴幼奶粉","list.jd.com/list.html?cat=1319,1523,7052","Y"
"646","孕妈奶粉","list.jd.com/list.html?cat=1319,1523,7054","Y"
"647","益生菌/初乳","list.jd.com/list.html?cat=1319,1524,1537","Y"
"648","米粉/菜粉","list.jd.com/list.html?cat=1319,1524,1533","Y"
"649","果泥/果汁","list.jd.com/list.html?cat=1319,1524,1534","Y"
"650","DHA","list.jd.com/list.html?cat=1319,1524,7055","Y"
"651","宝宝零食","list.jd.com/list.html?cat=1319,1524,12191","Y"
"652","钙铁锌/维生素","list.jd.com/list.html?cat=1319,1524,1538","Y"
"653","清火/开胃","list.jd.com/list.html?cat=1319,1524,1539","Y"
"654","面条/粥","list.jd.com/list.html?cat=1319,1524,9399","Y"
"655","婴儿尿裤","list.jd.com/list.html?cat=1319,1525,7057","Y"
"656","拉拉裤","list.jd.com/list.html?cat=1319,1525,1546","Y"
"657","婴儿湿巾","list.jd.com/list.html?cat=1319,1525,1548","Y"
"658","成人尿裤","list.jd.com/list.html?cat=1319,1525,7058","Y"
"659","奶瓶奶嘴","list.jd.com/list.html?cat=1319,1526,7060","Y"
"660","吸奶器","list.jd.com/list.html?cat=1319,1526,1550","Y"
"661","暖奶消毒","list.jd.com/list.html?cat=1319,1526,1551","Y"
"662","儿童餐具","list.jd.com/list.html?cat=1319,1526,1552","Y"
"663","水壶/水杯","list.jd.com/list.html?cat=1319,1526,7061","Y"
"664","牙胶安抚","list.jd.com/list.html?cat=1319,1526,1553","Y"
"665","围兜/防溅衣","list.jd.com/list.html?cat=1319,1526,13286","Y"
"666","辅食料理机","list.jd.com/list.html?cat=1319,1526,12197","Y"
"667","食物存储","list.jd.com/list.html?cat=1319,1526,13287","Y"
"668","宝宝护肤","list.jd.com/list.html?cat=1319,1527,1556","Y"
"669","洗发沐浴","list.jd.com/list.html?cat=1319,1527,1555","Y"
"670","奶瓶清洗","list.jd.com/list.html?cat=1319,1527,1558","Y"
"671","驱蚊防晒","list.jd.com/list.html?cat=1319,1527,1560","Y"
"672","理发器","list.jd.com/list.html?cat=1319,1527,12341","Y"
"673","洗澡用具","list.jd.com/list.html?cat=1319,1527,13288","Y"
"674","婴儿口腔清洁","list.jd.com/list.html?cat=1319,1527,13289","Y"
"675","洗衣液/皂","list.jd.com/list.html?cat=1319,1527,1557","Y"
"676","日常护理","list.jd.com/list.html?cat=1319,1527,1559","Y"
"677","座便器","list.jd.com/list.html?cat=1319,1527,1562","Y"
"678","婴儿推车","list.jd.com/list.html?cat=1319,1528,1563","Y"
"679","餐椅摇椅","list.jd.com/list.html?cat=1319,1528,1565","Y"
"680","婴儿床","list.jd.com/list.html?cat=1319,1528,1564","Y"
"681","学步车","list.jd.com/list.html?cat=1319,1528,1568","Y"
"682","三轮车","list.jd.com/list.html?cat=1319,1528,1569","Y"
"683","自行车","list.jd.com/list.html?cat=1319,1528,1566","Y"
"684","电动车","list.jd.com/list.html?cat=1319,1528,1567","Y"
"685","扭扭车","list.jd.com/list.html?cat=1319,1528,4702","Y"
"686","滑板车","list.jd.com/list.html?cat=1319,1528,12192","Y"
"687","婴儿床垫","list.jd.com/list.html?cat=1319,1528,13293","Y"
"688","婴儿外出服","list.jd.com/list.html?cat=1319,6313,6314","Y"
"689","婴儿内衣","list.jd.com/list.html?cat=1319,6313,11234","Y"
"690","婴儿礼盒","list.jd.com/list.html?cat=1319,6313,11235","Y"
"691","婴儿鞋帽袜","list.jd.com/list.html?cat=1319,6313,6315","Y"
"692","安全防护","list.jd.com/list.html?cat=1319,6313,6317","Y"
"693","家居床品","list.jd.com/list.html?cat=1319,6313,6316","Y"
"694","睡袋/抱被","list.jd.com/list.html?cat=1319,6313,13290","Y"
"695","爬行垫","list.jd.com/list.html?cat=1319,6313,13291","Y"
"696","妈咪包/背婴带","list.jd.com/list.html?cat=1319,4997,5002","Y"
"697","产后塑身","list.jd.com/list.html?cat=1319,4997,5001","Y"
"698","文胸/内裤","list.jd.com/list.html?cat=1319,4997,7062","Y"
"699","防辐射服","list.jd.com/list.html?cat=1319,4997,4999","Y"
"700","孕妈装","list.jd.com/list.html?cat=1319,4997,4998","Y"
"701","孕期营养","list.jd.com/list.html?cat=1319,4997,6319","Y"
"702","孕妇护肤","list.jd.com/list.html?cat=1319,4997,5000","Y"
"703","待产护理","list.jd.com/list.html?cat=1319,4997,12198","Y"
"704","月子装","list.jd.com/list.html?cat=1319,4997,12199","Y"
"705","防溢乳垫","list.jd.com/list.html?cat=1319,4997,13292","Y"
"706","套装","list.jd.com/list.html?cat=1319,11842,11222","Y"
"707","上衣","list.jd.com/list.html?cat=1319,11842,11223","Y"
"708","裤子","list.jd.com/list.html?cat=1319,11842,11224","Y"
"709","裙子","list.jd.com/list.html?cat=1319,11842,11225","Y"
"710","内衣/家居服","list.jd.com/list.html?cat=1319,11842,11227","Y"
"711","羽绒服/棉服","list.jd.com/list.html?cat=1319,11842,11226","Y"
"712","亲子装","list.jd.com/list.html?cat=1319,11842,4937","Y"
"713","儿童配饰","list.jd.com/list.html?cat=1319,11842,3977","Y"
"714","礼服/演出服","list.jd.com/list.html?cat=1319,11842,11228","Y"
"715","运动鞋","list.jd.com/list.html?cat=1319,11842,11229","Y"
"716","皮鞋/帆布鞋","list.jd.com/list.html?cat=1319,11842,11230","Y"
"717","靴子","list.jd.com/list.html?cat=1319,11842,11231","Y"
"718","凉鞋","list.jd.com/list.html?cat=1319,11842,11232","Y"
"719","功能鞋","list.jd.com/list.html?cat=1319,11842,11233","Y"
"720","户外/运动服","list.jd.com/list.html?cat=1319,11842,11843","Y"
"721","提篮式","list.jd.com/list.html?cat=1319,12193,12194","Y"
"722","安全座椅","list.jd.com/list.html?cat=1319,12193,12195","Y"
"723","增高垫","list.jd.com/list.html?cat=1319,12193,12196","Y"
"724","钱包","list.jd.com/list.html?cat=1672,2575,2580","Y"
"725","手拿包","list.jd.com/list.html?cat=1672,2575,5256","Y"
"726","单肩包","list.jd.com/list.html?cat=1672,2575,5257","Y"
"727","双肩包","list.jd.com/list.html?cat=1672,2575,5258","Y"
"728","手提包","list.jd.com/list.html?cat=1672,2575,5259","Y"
"729","斜挎包","list.jd.com/list.html?cat=1672,2575,5260","Y"
"730","钥匙包","list.jd.com/list.html?cat=1672,2575,12069","Y"
"731","卡包/零钱包","list.jd.com/list.html?cat=1672,2575,12070","Y"
"732","男士钱包","list.jd.com/list.html?cat=1672,2576,2584","Y"
"733","男士手包","list.jd.com/list.html?cat=1672,2576,5262","Y"
"734","卡包名片夹","list.jd.com/list.html?cat=1672,2576,13542","Y"
"735","商务公文包","list.jd.com/list.html?cat=1672,2576,1455","Y"
"736","双肩包","list.jd.com/list.html?cat=1672,2576,12071","Y"
"737","单肩/斜挎包","list.jd.com/list.html?cat=1672,2576,12072","Y"
"738","钥匙包","list.jd.com/list.html?cat=1672,2576,12073","Y"
"739","电脑包","list.jd.com/list.html?cat=1672,2577,3997","Y"
"740","拉杆箱","list.jd.com/list.html?cat=1672,2577,2589","Y"
"741","旅行包","list.jd.com/list.html?cat=1672,2577,2588","Y"
"742","旅行配件","list.jd.com/list.html?cat=1672,2577,4000","Y"
"743","休闲运动包","list.jd.com/list.html?cat=1672,2577,3998","Y"
"744","拉杆包","list.jd.com/list.html?cat=1672,2577,13543","Y"
"745","登山包","list.jd.com/list.html?cat=1672,2577,2587","Y"
"746","妈咪包","list.jd.com/list.html?cat=1672,2577,5271","Y"
"747","书包","list.jd.com/list.html?cat=1672,2577,5265","Y"
"748","相机包","list.jd.com/list.html?cat=1672,2577,12074","Y"
"749","腰包/胸包","list.jd.com/list.html?cat=1672,2577,12076","Y"
"750","火机烟具","list.jd.com/list.html?cat=1672,2599,1440","Y"
"751","礼品文具","list.jd.com/list.html?cat=1672,2599,1442","Y"
"752","军刀军具","list.jd.com/list.html?cat=1672,2599,1443","Y"
"753","收藏品","list.jd.com/list.html?cat=1672,2599,1444","Y"
"754","工艺礼品","list.jd.com/list.html?cat=1672,2599,1445","Y"
"755","创意礼品","list.jd.com/list.html?cat=1672,2599,5266","Y"
"756","礼盒礼券","list.jd.com/list.html?cat=1672,2599,1446","Y"
"757","鲜花绿植","list.jd.com/list.html?cat=1672,2599,4698","Y"
"758","婚庆节庆","list.jd.com/list.html?cat=1672,2599,4942","Y"
"759","京东卡","list.jd.com/list.html?cat=1672,2599,6980","Y"
"760","美妆礼品","list.jd.com/list.html?cat=1672,2599,12078","Y"
"761","礼品定制","list.jd.com/list.html?cat=1672,2599,12079","Y"
"762","京东福卡","list.jd.com/list.html?cat=1672,2599,13104","Y"
"763","古董文玩","list.jd.com/list.html?cat=1672,2599,12080","Y"
"764","箱包","list.jd.com/list.html?cat=1672,2615,9186","Y"
"765","钱包","list.jd.com/list.html?cat=1672,2615,9187","Y"
"766","服饰","list.jd.com/list.html?cat=1672,2615,9188","Y"
"767","腰带","list.jd.com/list.html?cat=1672,2615,9189","Y"
"768","太阳镜/眼镜框","list.jd.com/list.html?cat=1672,2615,9190","Y"
"769","配件","list.jd.com/list.html?cat=1672,2615,9191","Y"
"770","鞋靴","list.jd.com/list.html?cat=1672,2615,11934","Y"
"771","饰品","list.jd.com/list.html?cat=1672,2615,11935","Y"
"772","名品腕表","list.jd.com/list.html?cat=1672,2615,11936","Y"
"773","高档化妆品","list.jd.com/list.html?cat=1672,2615,11937","Y"
"774","婚嫁首饰","list.jd.com/list.html?cat=1672,12059,7066","Y"
"775","婚纱摄影","list.jd.com/list.html?cat=1672,12059,7067","Y"
"776","婚纱礼服","list.jd.com/list.html?cat=1672,12059,7068","Y"
"777","婚庆服务","list.jd.com/list.html?cat=1672,12059,7069","Y"
"778","婚庆礼品/用品","list.jd.com/list.html?cat=1672,12059,7070","Y"
"779","婚宴","list.jd.com/list.html?cat=1672,12059,7071","Y"
"780","饼干蛋糕","list.jd.com/list.html?cat=1320,5019,5020","Y"
"781","糖果/巧克力","list.jd.com/list.html?cat=1320,5019,5021","Y"
"782","休闲零食","list.jd.com/list.html?cat=1320,5019,5022","Y"
"783","冲调饮品","list.jd.com/list.html?cat=1320,5019,5023","Y"
"784","粮油调味","list.jd.com/list.html?cat=1320,5019,5024","Y"
"785","牛奶","list.jd.com/list.html?cat=1320,5019,12215","Y"
"786","其他特产","list.jd.com/list.html?cat=1320,1581,12217","Y"
"787","新疆","list.jd.com/list.html?cat=1320,1581,1589","Y"
"788","北京","list.jd.com/list.html?cat=1320,1581,2644","Y"
"789","山西","list.jd.com/list.html?cat=1320,1581,2647","Y"
"790","内蒙古","list.jd.com/list.html?cat=1320,1581,2648","Y"
"791","福建","list.jd.com/list.html?cat=1320,1581,2653","Y"
"792","湖南","list.jd.com/list.html?cat=1320,1581,2656","Y"
"793","四川","list.jd.com/list.html?cat=1320,1581,2669","Y"
"794","云南","list.jd.com/list.html?cat=1320,1581,2670","Y"
"795","东北","list.jd.com/list.html?cat=1320,1581,4693","Y"
"796","休闲零食","list.jd.com/list.html?cat=1320,1583,1590","Y"
"797","坚果炒货","list.jd.com/list.html?cat=1320,1583,1591","Y"
"798","肉干肉脯","list.jd.com/list.html?cat=1320,1583,1592","Y"
"799","蜜饯果干","list.jd.com/list.html?cat=1320,1583,1593","Y"
"800","糖果/巧克力","list.jd.com/list.html?cat=1320,1583,1594","Y"
